,Opposition,Inns,Score,Prev1,Prev2,Prev3,fow_wicket,fow_overs
103,Zimbabwe,I1,S1,P2,P1,P1,FW1,FO0
104,Zimbabwe,I2,S2,P1,P2,P1,FW1,FO0
105,Australia,I2,S2,P2,P1,P2,FW1,FO0
106,Australia,I2,S2,P2,P2,P1,FW1,FO2
107,Australia,I1,S2,P2,P2,P2,FW1,FO0
108,Australia,I2,S2,P2,P2,P2,FW1,FO2
109,Australia,I1,S1,P2,P2,P2,FW1,FO1
110,West Indies,I2,S2,P1,P2,P2,FW1,FO0
111,West Indies,I1,S2,P2,P1,P2,FW1,FO0
112,West Indies,I2,S1,P2,P2,P1,FW1,FO0
113,South Africa,I2,S1,P1,P2,P2,FW1,FO0
114,South Africa,I2,S1,P1,P1,P2,FW1,FO0
115,New Zealand,I2,S2,P1,P1,P1,FW1,FO0
116,New Zealand,I2,S2,P2,P1,P1,FW1,FO1
117,New Zealand,I2,S1,P2,P2,P1,FW1,FO1
118,New Zealand,I1,S1,P1,P2,P2,FW0,FO0
119,New Zealand,I2,S2,P1,P1,P2,FW1,FO0
120,Bangladesh,I2,S2,P2,P1,P1,FW1,FO1
121,Sri Lanka,I1,S1,P2,P2,P1,FW1,FO1
122,Pakistan,I1,S1,P1,P2,P2,FW1,FO0
123,England,I1,S1,P1,P1,P2,FW1,FO1
124,England,I2,S1,P1,P1,P1,FW1,FO1
125,England,I2,S1,P1,P1,P1,FW1,FO2
126,England,I2,S1,P1,P1,P1,FW1,FO0
127,West Indies,I2,S1,P1,P1,P1,FW1,FO1
128,West Indies,I1,S2,P1,P1,P1,FW2,FO1
129,West Indies,I1,S2,P2,P1,P1,FW1,FO1
130,Sri Lanka,I1,S1,P2,P2,P1,FW2,FO3
131,Sri Lanka,I2,S1,P1,P2,P2,FW2,FO2
132,Sri Lanka,I2,S2,P1,P1,P2,FW2,FO2
133,Sri Lanka,I1,S2,P2,P1,P1,FW2,FO1
134,Sri Lanka,I2,S2,P2,P2,P1,FW2,FO0
135,Australia,I1,S1,P2,P2,P2,FW2,FO1
136,England,I1,S1,P1,P2,P2,FW2,FO1
137,Australia,I1,S1,P1,P1,P2,FW2,FO1
138,England,I1,S1,P1,P1,P1,FW1,FO2
139,Pakistan,I1,S2,P1,P1,P1,FW1,FO1
140,South Africa,I1,S1,P2,P1,P1,FW1,FO0
141,U.A.E.,I2,S1,P1,P2,P1,FW1,FO0
142,West Indies,I2,S1,P1,P1,P2,FW1,FO0
143,Ireland,I2,S1,P1,P1,P1,FW1,FO2
144,Zimbabwe,I2,S1,P1,P1,P1,FW1,FO0
145,Bangladesh,I1,S1,P1,P1,P1,FW1,FO1
146,Australia,I2,S1,P1,P1,P1,FW1,FO1
147,Bangladesh,I2,S1,P1,P1,P1,FW1,FO1
148,Bangladesh,I1,S1,P1,P1,P1,FW1,FO0
149,Bangladesh,I1,S1,P1,P1,P1,FW1,FO0
150,South Africa,I2,S1,P1,P1,P1,FW2,FO2
151,South Africa,I1,S1,P1,P1,P1,FW2,FO1
152,South Africa,I2,S2,P1,P1,P1,FW1,FO1
153,South Africa,I1,S2,P2,P1,P1,FW1,FO0
154,South Africa,I2,S1,P2,P2,P1,FW1,FO0
155,Australia,I1,S2,P1,P2,P2,FW1,FO0
156,Australia,I1,S2,P2,P1,P2,FW1,FO0
157,Australia,I1,S2,P2,P2,P1,FW1,FO0
158,Australia,I2,S2,P2,P2,P2,FW1,FO1
159,Australia,I2,S1,P2,P2,P2,FW1,FO1
160,New Zealand,I2,S2,P1,P2,P2,FW1,FO1
161,New Zealand,I2,S1,P2,P1,P2,FW1,FO1
162,New Zealand,I2,S2,P1,P2,P1,FW1,FO0
163,New Zealand,I2,S1,P2,P1,P2,FW1,FO0
164,New Zealand,I1,S2,P1,P2,P1,FW1,FO1
165,England,I2,S2,P2,P1,P2,FW1,FO0
166,England,I1,S1,P2,P2,P1,FW1,FO0
167,England,I2,S2,P1,P2,P2,FW1,FO0
